,best_model,base_BIC,perseverance_BIC,feedback_BIC,PF_BIC,base_LL,perseverance_LL,feedback_LL,PF_LL,base_g,base_c,base_alpha,base_gamma,perseverance_g,perseverance_c,perseverance_alpha,perseverance_gamma,feedback_g,feedback_c,feedback_alpha,feedback_gamma,PF_g,PF_c,PF_alpha,PF_gamma
participant_1,PF,110.04,111.168,113.953,94.486,-50.716,-49.128,-50.52,-38.635,0.714,0.286,0.0,0.0,0.714,0.286,0.0,-1.0,0.714,0.286,0.0,0.0,1.429,0.286,0.571,-1.0
participant_2,PF,60.59,64.161,65.307,56.245,-25.7,-25.188,-25.761,-18.932,2.143,0.286,0.0,0.0,2.857,0.286,0.0,-0.143,2.857,0.286,0.143,0.0,3.571,0.286,0.571,-1.0
participant_3,PF,47.098,51.146,50.959,39.511,-18.964,-18.696,-18.602,-10.586,3.571,0.286,0.0,0.0,3.571,0.286,0.0,-0.143,3.571,0.286,0.143,0.0,5.0,0.286,1.0,1.0
participant_4,PF,71.511,75.317,76.701,66.358,-31.212,-30.844,-31.535,-24.093,2.143,0.286,0.0,0.0,2.143,0.286,0.0,0.143,5.0,0.286,0.429,0.0,4.286,0.286,0.857,0.714
participant_5,PF,114.195,116.965,118.767,102.658,-52.576,-51.7,-52.601,-42.286,0.714,0.286,0.0,0.0,0.714,0.286,0.0,0.714,0.714,0.286,0.0,0.0,1.429,0.286,0.429,-1.0
participant_6,PF,54.561,53.296,58.917,45.964,-22.695,-19.771,-22.581,-13.812,5.0,0.286,0.0,0.0,5.0,0.286,0.0,-1.0,5.0,0.286,0.143,0.0,4.286,0.286,0.571,-1.0
participant_7,base,42.723,46.435,47.062,43.063,-16.797,-16.371,-16.685,-12.403,4.286,0.286,0.0,0.0,5.0,0.286,0.0,-0.714,5.0,0.286,0.0,0.0,4.286,0.286,0.571,-1.0
participant_8,PF,74.326,74.753,79.145,61.145,-32.631,-30.578,-32.773,-21.507,2.143,0.286,0.0,0.0,2.143,0.286,0.0,-0.429,1.429,0.286,0.0,0.0,2.857,0.286,0.571,-1.0
participant_9,PF,55.554,59.217,60.251,52.379,-23.202,-22.747,-23.263,-17.04,2.857,0.286,0.0,0.0,2.857,0.286,0.0,-0.429,2.857,0.286,0.0,0.0,4.286,0.286,0.571,-1.0
participant_10,PF,36.792,42.272,41.255,25.256,-13.801,-14.243,-13.735,-3.438,4.286,0.286,0.0,0.0,5.0,0.286,0.0,0.143,4.286,0.286,0.0,0.0,5.0,0.857,0.857,1.0
participant_11,PF,74.392,74.504,79.999,60.88,-32.663,-30.453,-33.201,-21.375,2.143,0.286,0.0,0.0,2.857,0.286,0.0,-0.714,2.143,0.286,0.0,0.0,3.571,0.286,0.429,-1.0
participant_12,PF,114.88,113.012,119.818,89.43,-52.865,-49.644,-53.047,-35.565,1.429,0.286,0.0,0.0,1.429,0.286,0.0,-1.0,0.714,0.286,0.0,0.0,2.143,0.286,0.571,-1.0
participant_13,PF,55.086,57.245,59.667,30.359,-22.968,-21.76,-22.972,-6.03,2.857,0.286,0.0,0.0,2.857,0.286,0.0,0.143,2.857,0.286,0.0,0.0,4.286,2.0,0.857,1.0
participant_14,PF,43.432,44.562,47.056,40.082,-17.141,-15.419,-16.666,-10.892,5.0,0.286,0.0,0.0,5.0,0.286,0.0,-0.714,5.0,0.286,0.286,0.0,4.286,0.286,0.571,-1.0
participant_15,PF,102.175,105.066,106.84,86.804,-46.492,-45.64,-46.528,-34.212,5.0,-0.286,0.0,0.0,4.286,-0.286,0.0,-0.429,5.0,-0.286,0.0,0.0,2.143,0.286,0.429,-1.0
participant_16,PF,132.962,136.771,137.684,114.747,-61.896,-61.508,-61.964,-48.204,1.429,-0.286,0.0,0.0,1.429,-0.286,0.0,0.429,1.429,-0.286,0.0,0.0,1.429,0.286,0.571,-1.0
